Time,Pack Amperage (Current)
Thu Oct 17 18:21:19 CST 2024,0.5
Thu Oct 17 18:21:19 CST 2024,0.5
Thu Oct 17 18:21:19 CST 2024,0.5
Thu Oct 17 18:21:19 CST 2024,0.5
Thu Oct 17 18:21:19 CST 2024,0.5
Thu Oct 17 18:21:19 CST 2024,0.5
Thu Oct 17 18:21:19 CST 2024,0.5
Thu Oct 17 18:21:19 CST 2024,0.5
Thu Oct 17 18:21:19 CST 2024,0.5
Thu Oct 17 18:21:19 CST 2024,0.4
Thu Oct 17 18:21:20 CST 2024,1.6
Thu Oct 17 18:21:20 CST 2024,3
Thu Oct 17 18:21:20 CST 2024,4.7
Thu Oct 17 18:21:20 CST 2024,5.6
Thu Oct 17 18:21:20 CST 2024,6.6
Thu Oct 17 18:21:20 CST 2024,7.6
Thu Oct 17 18:21:20 CST 2024,7.6
Thu Oct 17 18:21:20 CST 2024,7.6
Thu Oct 17 18:21:20 CST 2024,10.2
Thu Oct 17 18:21:21 CST 2024,8.6
Thu Oct 17 18:21:21 CST 2024,7
Thu Oct 17 18:21:21 CST 2024,6
Thu Oct 17 18:21:21 CST 2024,11.3
Thu Oct 17 18:21:21 CST 2024,12.7
Thu Oct 17 18:21:21 CST 2024,14
Thu Oct 17 18:21:21 CST 2024,17.3
Thu Oct 17 18:21:21 CST 2024,24.8
Thu Oct 17 18:21:21 CST 2024,33.2
Thu Oct 17 18:21:21 CST 2024,45.4
Thu Oct 17 18:21:22 CST 2024,51.3
Thu Oct 17 18:21:22 CST 2024,59.9
Thu Oct 17 18:21:22 CST 2024,53.3
Thu Oct 17 18:21:22 CST 2024,37.3
Thu Oct 17 18:21:22 CST 2024,-5.5
Thu Oct 17 18:21:22 CST 2024,-15.4
Thu Oct 17 18:21:22 CST 2024,-22.8
Thu Oct 17 18:21:22 CST 2024,-29
Thu Oct 17 18:21:22 CST 2024,-8.5
Thu Oct 17 18:21:22 CST 2024,0.3
Thu Oct 17 18:21:23 CST 2024,0.5
Thu Oct 17 18:21:23 CST 2024,0
Thu Oct 17 18:21:23 CST 2024,0.1
Thu Oct 17 18:21:23 CST 2024,0.8
Thu Oct 17 18:21:23 CST 2024,0.4
Thu Oct 17 18:21:23 CST 2024,0.6
Thu Oct 17 18:21:23 CST 2024,0.8
Thu Oct 17 18:21:23 CST 2024,1.5
Thu Oct 17 18:21:23 CST 2024,2.2
Thu Oct 17 18:21:23 CST 2024,2.3
Thu Oct 17 18:21:24 CST 2024,4.1
Thu Oct 17 18:21:24 CST 2024,5.4
Thu Oct 17 18:21:24 CST 2024,5.6
Thu Oct 17 18:21:24 CST 2024,2.4
Thu Oct 17 18:21:24 CST 2024,0.1
Thu Oct 17 18:21:24 CST 2024,-0.5
Thu Oct 17 18:21:24 CST 2024,3
Thu Oct 17 18:21:24 CST 2024,6.3
Thu Oct 17 18:21:24 CST 2024,17.5
Thu Oct 17 18:21:24 CST 2024,36.9
Thu Oct 17 18:21:25 CST 2024,55.1
Thu Oct 17 18:21:25 CST 2024,50.5
Thu Oct 17 18:21:25 CST 2024,37.8
Thu Oct 17 18:21:25 CST 2024,13.5
Thu Oct 17 18:21:25 CST 2024,-5.5
Thu Oct 17 18:21:25 CST 2024,-12.1
Thu Oct 17 18:21:25 CST 2024,-19.1
Thu Oct 17 18:21:25 CST 2024,-24.9
Thu Oct 17 18:21:25 CST 2024,-6.9
Thu Oct 17 18:21:25 CST 2024,-0.5
Thu Oct 17 18:21:26 CST 2024,1.2
Thu Oct 17 18:21:26 CST 2024,4.8
Thu Oct 17 18:21:26 CST 2024,4.3
Thu Oct 17 18:21:26 CST 2024,4
Thu Oct 17 18:21:26 CST 2024,3.7
Thu Oct 17 18:21:26 CST 2024,3.1
Thu Oct 17 18:21:26 CST 2024,2.6
Thu Oct 17 18:21:26 CST 2024,1
Thu Oct 17 18:21:26 CST 2024,-1.9
Thu Oct 17 18:21:26 CST 2024,-3.6
Thu Oct 17 18:21:27 CST 2024,-6.1
Thu Oct 17 18:21:27 CST 2024,-2.5
Thu Oct 17 18:21:27 CST 2024,4
Thu Oct 17 18:21:27 CST 2024,5.3
Thu Oct 17 18:21:27 CST 2024,9.9
Thu Oct 17 18:21:27 CST 2024,17.3
Thu Oct 17 18:21:27 CST 2024,20.4
Thu Oct 17 18:21:27 CST 2024,26.6
Thu Oct 17 18:21:27 CST 2024,38.3
Thu Oct 17 18:21:27 CST 2024,49.4
Thu Oct 17 18:21:28 CST 2024,58.8
Thu Oct 17 18:21:28 CST 2024,64.9
Thu Oct 17 18:21:28 CST 2024,44.8
